station_id,station,mask_source,marine_seed_resolved,marine_seed_status,marine_context_width_km,marine_context_source,marine_context_ocean_cells,marine_context_river_cells,window_area_km2,valid_area_km2,mask_lowland_area_km2,mask_reference_land_area_km2,land_cells,land_area_km2,ocean_cells,ocean_area_km2,lake_cells,lake_area_km2,river_cells,river_area_km2,outside_mask_support_cells,outside_mask_support_area_km2,clipped_255_cells,clipped_255_area_km2
workington-p217-uk,Workington P217 Uk,DeltaDTM_v1_1_N54W004.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N54W004.tif,67635,473,100.6767123267183,44.18089024892522,9.360007797996479,44.18089024892522,53354,44.18089024892522,67635,55.99162540384974,136,0.11258654010715072,473,0.3916101338361958,0,0.0,0,0.0
sthelier-p074-uk,Sthelier P074 Uk,DeltaDTM_v1_1_N49W003.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N49W003.tif,72915,0,100.63097762002096,55.017106478497276,7.885208435288687,55.017106478497276,88258,55.017106478497276,72915,45.4910397373133,197,0.12283140421038731,0,0.0,0,0.0,0,0.0
gladstone-p234-uk,Gladstone P234 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),43044,10703,100.57347215196819,67.84289798235169,25.619988506705404,67.84176121368718,119401,67.84176121368718,43044,24.44845482760867,3544,2.0136246894432173,10703,6.084413240470434,326,0.18521818075868912,0,0.0
llandudno-p007-uk,Llandudno P007 Uk,DeltaDTM_v1_1_N53W004.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N53W004.tif,81410,784,100.57373323262554,30.34735475753791,10.721062954364115,30.34735475753791,35492,30.34735475753791,81410,69.55572536405404,0,0.0,784,0.6706531110335968,0,0.0,0,0.0
portellen-p202-uk,Portellen P202 Uk,DeltaDTM_v1_1_N55W007.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N55W007.tif,51112,0,100.61469995731873,58.84918077137918,9.785344960808112,58.84918077137918,72866,58.84918077137918,51112,41.31817170715231,554,0.44734747878723724,0,0.0,0,0.0,0,0.0
saint-malo,Saint Malo France,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),55487,15872,100.49550180888089,55.0454178051336,10.121659161410921,55.0454178051336,87295,55.0454178051336,55487,34.96187083715059,760,0.4790893749321421,15872,10.009123791664553,0,0.0,0,0.0
newport-p057-uk,Newport P057 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),47106,4829,100.56810969649192,68.87688619496161,49.37632285595635,68.87688619496161,116132,68.87688619496161,47106,27.96488145444048,1453,0.8618726485435904,4829,2.8644693985462393,0,0.0,0,0.0
portrush-p935-uk,Portrush P935 Uk,DeltaDTM_v1_1_N55W007.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N55W007.tif,71395,125,100.62541708859715,42.1902055451467,4.6143223714535075,42.1902055451467,51635,42.1902055451467,71395,58.27338440232682,73,0.059640896507893365,125,0.10218624461573632,0,0.0,0,0.0
bangor-p662-uk,Bangor P662 Uk,DeltaDTM_v1_1_N54W006.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N54W006.tif,52043,0,100.64161557450478,57.31495510644673,4.852844089564865,57.31495510644673,69217,57.31495510644673,52043,43.04673585697845,338,0.2799246110796028,0,0.0,0,0.0,0,0.0
stmarys-p231-uk,Stmarys P231 Uk,DeltaDTM_v1_1_N49W007.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N49W007.tif,137449,0,100.52991635091848,15.979316069220204,9.645633016974283,15.979316069220204,26019,15.979316069220204,137449,84.43764524116001,184,0.11295504053825974,0,0.0,0,0.0,0,0.0
bournemouth-p988-uk,Bournemouth P988 Uk,DeltaDTM_v1_1_N50W002.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N50W002.tif,53038,0,100.43587738147514,52.337798643438674,9.870866458398114,52.337798643438674,57785,52.337798643438674,53038,48.082677680632905,17,0.015401057403553185,0,0.0,0,0.0,0,0.0
concarneau,Concarneau France,DeltaDTM_v1_1_N47W004.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N47W004.tif,50072,399,100.55409526279,68.20685544952401,11.787101409254323,68.20685544952401,106601,68.20685544952401,50072,32.05352183984987,60,0.03838157896321061,399,0.2553363944529086,0,0.0,0,0.0
le-crouesty,Le Crouesty France,DeltaDTM_v1_1_N47W003.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N47W003.tif,113619,0,100.56509893590558,27.099663445013594,21.90972020380216,27.099663445013594,42081,27.099663445013594,113619,73.17296764137876,454,0.29246784951323296,0,0.0,0,0.0,0,0.0
morayfirth-p207-uk,Morayfirth P207 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),123039,0,100.6601829074117,37.755046808422826,19.08665237643373,37.755046808422826,73815,37.755046808422826,123039,62.879571871574015,50,0.025564227414870976,0,0.0,0,0.0,0,0.0
harwich-p022-uk,Harwich P022 Uk,DeltaDTM_v1_1_N51E001.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N51E001.tif,35019,12794,100.64631501729704,58.21849723967189,33.38492114705641,58.21849723967189,66015,58.21849723967189,35019,30.905714636323854,272,0.23976460857526768,12794,11.28233853272603,0,0.0,0,0.0
portbury-p341-uk,Portbury P341 Uk,DeltaDTM_v1_1_N51W003.tif,True,resolved_context_ocean_connected_river,25.0,DeltaDTM_v1_1_N51W003.tif,18622,174835,100.48455182434111,58.34741526792888,33.50614229451004,58.34741526792888,65475,58.34741526792888,0,0.0,1063,0.9469749659085236,46258,41.190161590503706,0,0.0,0,0.0
montoir-de-bretagne,Montoir De Bretagne,DeltaDTM_v1_1_N47W003.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N47W003.tif,53,43911,100.5969871408636,72.05903425025726,70.93229651226093,72.05903425025726,111402,72.05903425025726,53,0.0343156041062062,136,0.08796549967212634,43911,28.415671786828028,0,0.0,0,0.0
paimboeuf,Paimboeuf France,mask:mosaic(2),True,resolved_context_ocean_connected_river,50.0,mask:mosaic(2),454993,88540,100.63319997963146,86.8934781732328,69.69289725105445,86.8934781732328,134269,86.8934781732328,0,0.0,355,0.22975560421060087,20878,13.509966202188057,0,0.0,0,0.0
